,title,url,content,tag
0,Meebits品牌负责人Danny Greene宣布离职,https://www.panewslab.com/zh/sqarticledetails/8t1nete2.html,PANews 10月14日消息，MeebitsDAO总经理和Yuga品牌负责人Danny Greene在推特发文称，随着Meebits成为Otherside的一部分，其作为品牌负责人的工作也告一段落。 Danny Greene于去年8月加入Yuga Labs担任Meebits品牌负责人，负责为Meebit持有者建立社区和公用事业。,[]
1,Coinbase首席法务官：已要求美国SEC在30天内对Coinbase的规则制定请愿书采取行动,https://www.panewslab.com/zh/sqarticledetails/4181p40m.html,PANews 10月14日消息，Coinbase首席法务官Paul Grewal推特发文称，Coinbase已向第三巡回法院提交了回应，要求美国证券交易委员会（SEC）在30天内对Coinbase的规则制定请愿书采取行动。,['regulation']
2,加密交易所Virgo Group完成500万加元融资,https://www.panewslab.com/zh/sqarticledetails/stv4ku4b.html,"PANews 10月14日消息，据Techub News报道，加拿大合规加密货币平台VirgoCX Inc和澳洲交易平台Virgo.co的控股公司Virgo Group宣布，继2022年首轮融资成功筹得1000万加元后，再次获得水滴资本、Skylean Capital及Nextport Capital等投资方额外注资500万加元。新资金将用于集团在合规交易所的持续发展，加速其在新区域的扩张策略，并进一步巩固从交易到资产管理的一体化生态系统及全链条服务体系。Virgo Group提供一站式服务，包括合规的数字货币交易平台、加密货币场外交易（OTC）以及虚拟资产投资管理。
","['investment', 'exchange']"
3,Gauntlet在Aave社区发起弃用稳定币MAI/MIMATIC的新提案,https://www.panewslab.com/zh/sqarticledetails/k3up30ah.html,PANews 10月14日消息，官方治理页面显示，Gauntlet在Aave社区发起弃用MAI/MIMATIC的提案。提案表示，鉴于MAI/MIMATIC价格在过去24小时内跌至约0.72美元，并且在过去几个月内无法恢复锚定，Gauntlet建议开始弃用MAI/MIMATIC，目标是通过减少贷款期限和提高借款利率来激励还款。目前，MAI/MIMATIC被冻结，LTV设置为0。,['defi']
4,Stride暂时搁置将STRD转换为ATOM的计划,https://www.panewslab.com/zh/sqarticledetails/a4x8vvkq.html,"PANews 10月14日消息，据Blockworks报道，Cosmos生态流动性质押项目Stride将暂停将其原生代币STRD转换为Cosmos Hub的ATOM代币的计划。就在九天前，Stride Labs联合创始人Vishal Talasani在伊斯坦布尔的Cosmoverse上提出，Stride应该与Cosmos生态系统的核心区块链Cosmos Hub合并。
Stride团队推特发文称：“经过一周的公开讨论，Cosmos Hub和Stride社区已暂停STRD向ATOM转换。可以认为该计划被搁置了，但并不是完全放弃。从Cosmos Hub和Stride社区的反应来看，关于转换想法的可行性目前存在太多分歧，共识不足。也许这种情况会在未来的某个时候改变，但目前而言，我们认为推进有关转换的具体细节是不合适的。”虽然转换对话暂时搁置，但Stride团队表示，他们将继续专注于提供流动性质押服务。
据此前消息，Stride于10月9日发布提案，拟将Stride代币STRD全部转换为ATOM，ATOM将作为唯一治理代币，并可获得Stride协议的所有奖励。",[]
5,Lybra Finance社区投票决定将V1 LBR代币迁移截止日期延长至明年1月,https://www.panewslab.com/zh/sqarticledetails/pbttc4h7.html,"PANews 10月14日消息，Lybra Finance推特发文称，esLBR持有者投票决定将V1 LBR代币迁移截止日期再延长3个月。新的迁移截止日期为北京时间2024年1月16日21点。从10月16日21点开始，现有V1 LBR持有者可以开始将其代币迁移到V2 esLBR。3%的迁移费将按周发放给esLBR持有人。首次迁移费发放将在10月23日进行。据此前消息，Lybra Finance针对未迁移V1 LBR代币提出三种处理方法，其中第一种方法允许将V1 LBR代币迁移到V2，迁移费用为3%，截至日期为3个月。迁移费用（即61,979.01 LBR）将兑换为USDC并分配给V2 esLBR持有者。",[]
6,ProShares将于下周推出空头以太坊期货ETF,https://www.panewslab.com/zh/sqarticledetails/boh94mj9.html,PANews 10月14日消息，彭博分析师James Seyffart推特发文称，ProShares将于下周推出空头以太坊期货ETF（Short ETH Strategy ETF），交易将于10月16日开始，股票代码为SETH。,[]
7,Invesco Galaxy已更新比特币现货ETF招股说明书,https://www.panewslab.com/zh/sqarticledetails/k4xxanzk.html,PANews 10月14日消息，彭博高级ETF分析师Eric Balchunas推特发文称，继ARK Invest回应SEC评论之后，Invesco Galaxy现已更新其比特币现货ETF招股说明书。预期其他申请人也将很快更新文件。,[]
8,彭博分析师：比特币现货ETF在1月10日前获批的概率为90%,https://www.panewslab.com/zh/sqarticledetails/r69rixqw.html,PANews 10月14日消息，彭博高级分析师Eric Balchunas和James Seyffart认为，比特币现货ETF在1月10日之前批准的概率为90%。,[]
9,纽约时报：美国当局正出于国家安全考虑监控与中国有关的比特币矿商,https://www.panewslab.com/zh/sqarticledetails/19zaq14t.html,PANews 10月14日消息，据纽约时报报道，美国政府官员一直在密切关注与中国有关的某些加密货币挖矿业务。当局正在监控的其中一个地点是怀俄明州的一个加密采矿作业区，该矿场靠近支持五角大楼部分行动的一个微软数据中心。 微软在一份有关此次行动的报告中表示：“没有直接迹象表明该实体有恶意活动。然而，在进一步发现证据之前，我们认为工业级加密挖矿的算力以及在微软数据中心和美国三个战略导弹基地之一附近存在数量不明的中国公民可能构成重大威胁”。,[]
